status,kappa,r_p_au,v_inf_kms,trial,seed,n_A,n_B,n_ejected,any_exchange,group_exchange,full_exchange,dE_over_E,conservation_ok,outcome_J,e_post_J,i_post_deg_J,outcome_S,e_post_S,i_post_deg_S,outcome_U,e_post_U,i_post_deg_U,outcome_N,e_post_N,i_post_deg_N,proc_s
ok,0.1,100.0,0.5,0,20260705,4,0,0,False,False,False,5.24391379257449e-13,True,A,0.016431548155163993,91.0153972173802,A,0.018912339641840952,82.16116094515992,A,0.02996229144237799,27.511757982912794,A,0.006996328019065752,131.54842293724926,0.48771095275878906
ok,0.1,100.0,0.5,1,20268624,4,0,0,False,False,False,1.5591039480110767e-13,True,A,0.009346987471059288,129.4974749151755,A,0.027421782640246924,56.87915506359807,A,0.02808767055923034,36.7113413327904,A,0.008989558406126981,93.3208529515487,0.49710869789123535
ok,0.1,100.0,0.5,2,20276543,4,0,0,False,False,False,4.449721784643963e-13,True,A,0.01125684412747154,29.28875455785398,A,0.022348882367878506,34.060997717528956,A,0.02504661287239208,45.33535155828383,A,0.014363946931504569,112.686776309981,0.49216604232788086
ok,0.1,100.0,0.5,3,20284462,4,0,0,False,False,False,7.411385028111943e-13,True,A,0.009867896566240077,39.65114725306946,A,0.018205773939460723,35.22249876535788,A,0.029200300572715228,55.324760338489575,A,0.009976076249160493,130.19661832152732,0.5159435272216797
ok,0.1,100.0,0.5,12,20355733,4,0,0,False,False,False,9.127965824897694e-13,True,A,0.015547217890335295,80.01205545782045,A,0.012415367072454499,57.94247347468657,A,0.034927510922244755,36.97287789905708,A,0.013123546040059246,29.21804781030185,0.5151562690734863
ok,0.1,100.0,0.5,13,20363652,4,0,0,False,False,False,3.0749753384720136e-13,True,A,0.00843691968659873,77.94429589032846,A,0.017981516179074373,50.722473829474694,A,0.02883791382919193,19.64226616819227,A,0.01360336165416985,75.00735260268013,0.5024802684783936
ok,0.1,100.0,0.5,14,20371571,4,0,0,False,False,False,9.494315989572258e-14,True,A,0.009576820428153134,42.22090006964845,A,0.023225831071779435,105.8143249996749,A,0.028921199994708036,72.54519792087022,A,0.00708637964841918,85.84447036454439,0.4793813228607178
ok,0.1,100.0,0.5,15,20379490,4,0,0,False,False,False,6.349608516274448e-13,True,A,0.00610462321891875,102.91860569417847,A,0.018870572201239985,75.70933628568743,A,0.02838993729385833,47.549450724926416,A,0.011063203973356089,129.81788650834565,0.5023188591003418
ok,0.1,100.0,0.5,8,20324057,4,0,0,False,False,False,5.669380496654249e-13,True,A,0.018552680474266923,37.782856358342755,A,0.04191161692334873,83.0451643380596,A,0.02800202917305256,23.491707240936766,A,0.012488981241008303,111.72968582490282,0.5442862510681152
ok,0.1,100.0,0.5,9,20331976,4,0,0,False,False,False,1.403224496688285e-13,True,A,0.008589539157728402,46.408966008561606,A,0.016691984711939393,123.49550046493421,A,0.028546970367001833,67.58801448417705,A,0.0063434679184818914,57.75510332634904,0.5052618980407715
ok,0.1,100.0,0.5,10,20339895,4,0,0,False,False,False,1.9985171448544734e-13,True,A,0.007795521261438556,47.472660432046915,A,0.038648287413057834,70.86194437324653,A,0.02821367556450566,37.0894869648215,A,0.010678993196633008,143.6558680496668,0.5020384788513184
ok,0.1,100.0,0.5,11,20347814,4,0,0,False,False,False,2.5369107068337506e-13,True,A,0.019220138639363758,54.37659314400909,A,0.03167411614952074,142.0000998585571,A,0.031575723501902374,3.8178804887207938,A,0.012219449969996719,106.50948871692025,0.48700380325317383
ok,0.1,100.0,0.5,4,20292381,4,0,0,False,False,False,4.2234899459787627e-13,True,A,0.01579179746395096,105.43083456918569,A,0.01644144832666816,96.0190386290627,A,0.024036639806988145,105.5169273416662,A,0.007931066063180227,57.90448071545941,0.6436765193939209
ok,0.1,100.0,0.5,5,20300300,4,0,0,False,False,False,1.5137684228644394e-12,True,A,0.013457391342710087,38.22240806735889,A,0.027592443488471025,146.6616948822747,A,0.0321658449483817,144.26301667760467,A,0.012863687085966266,115.7072670462147,0.5324418544769287
ok,0.1,100.0,0.5,6,20308219,4,0,0,False,False,False,1.488247817514776e-13,True,A,0.00880173722833361,62.70308860986635,A,0.01592014472690452,127.22568528201133,A,0.03339790619646192,62.204502983873766,A,0.008751159055995265,62.88675110909126,0.5255601406097412
ok,0.1,100.0,0.5,7,20316138,4,0,0,False,False,False,1.9201454631420948e-12,True,A,0.009044419576854984,67.44716529825736,A,0.01807325275685627,107.31133123218541,A,0.03439659015428009,102.79832006594071,A,0.00947008339683751,124.46287128355293,0.5253505706787109
ok,0.1,100.0,0.5,16,20387409,4,0,0,False,False,False,6.90223763897822e-13,True,A,0.017144066771691977,24.777271573389214,A,0.019463616437793322,82.20757619317223,A,0.028880424853158136,10.321154023108061,A,0.01098088675394665,89.94002954581367,0.49248337745666504
ok,0.1,100.0,0.5,17,20395328,4,0,0,False,False,False,1.9134566491165076e-13,True,A,0.012556378193806757,143.19921681709238,A,0.024901818911460035,61.81557693315283,A,0.02940761043894429,33.45334554171259,A,0.012242134599116728,131.63783630029698,0.5161564350128174
ok,0.1,100.0,0.5,18,20403247,4,0,0,False,False,False,1.3746813383590165e-13,True,A,0.010436584162061297,65.0353331979149,A,0.01452052035120561,156.23086099499238,A,0.028035488331360266,127.83601186406075,A,0.008707100042252057,87.03433354639002,0.5387940406799316
