name,ra,dec,tic_id,Tmag,R_star,M_star,Teff,n_sectors,baseline_d,n_pts,rms_ppm,P_d,dur_h,depth_ppm,T0_BTJD,sde,R_p_Rearth,a_AU,T_eq_K,is_systematic_period,proc_time_s,status,centroid_offset_arcsec,centroid_sigma,centroid_direction_R,centroid_verdict
CPD-63   349,69.17225,-62.91497,38877496,9.5916,0.917616,1.03,5745.0,39.0,2606.387803404933,615948.0,832.4808104412549,190.486879475179,3.6,444.2151470070915,1393.8127501113777,8.265383836052791,2.111933783833853,0.6543281984069632,328.0621517955855,False,181.31923627853396,SDE_OK_ON_TARGET,0.006099280893954,4.591579175408244,0.821315415413447,ON_TARGET (significant but <3'' = << 1 TESS pixel)
CD-60  1593,103.380585,-60.31139,167723227,10.4403,0.997126,0.99,5588.2,21.0,2607.8387500465287,324586.0,1268.962190998741,91.6410056402256,2.4000000000000004,552.6239538545175,1348.4748904967505,6.17581063694293,2.5596909435020097,0.3964710485322444,427.3410840135752,False,127.6487512588501,no_signal_SDE_6.2,,,,
HD 271308,82.443375,-66.04164,287298304,9.5629,1.53966,1.23,6287.1,9.0,327.59550942082024,135061.0,870.6990989912659,34.2689733097235,2.4000000000000004,282.3562350065999,1348.8458661283416,7.466245592379892,2.8251802174976817,0.2212291154689573,799.7883355300604,False,82.90457105636597,SDE_OK_ON_TARGET,0.0025731408273817,1.7430912770315683,0.4414780908201439,ON_TARGET (offset not significant)
BD-02  3362,172.6245,-3.4784722,173108636,9.86658,1.10174,1.121,6037.0,3.0,1034.4954223157624,49159.0,971.2363564499216,72.04948197927916,1.2000000000000002,664.1781931413259,1558.1017097299768,7.034965587400083,3.1005879998551347,0.3520159129117091,515.0068577813969,False,26.59739923477173,SDE_OK_ON_TARGET,0.0159307940519439,3.2966768841543037,0.8015725895021666,ON_TARGET (significant but <3'' = << 1 TESS pixel)
2M19424886+7023240,295.703622,70.390022,nan,,1.1629964196244946,1.0200459959884356,5972.33,16.0,1979.4730039063465,249479.0,1695.111430168432,169.29849193967758,4.800000000000001,7384.010760460007,1814.6137682993337,2.8162080430500684,10.91307592075071,0.6029044579676635,399.983580392396,False,78.71983289718628,no_signal_SDE_2.8,,,,
2M17553458+5807436,268.894104,58.12878,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,
2M19435353+7025233,295.973072,70.423149,nan,,0.8256210446737959,0.91240384913024,4959.3267,16.0,1979.4730139659255,250356.0,1157.7714802083767,191.26535061402456,3.5999999999999996,3198.1979405583115,1737.018765178981,3.208258911763148,5.098660117734027,0.6301245792553983,273.7368790531648,False,77.59160304069519,no_signal_SDE_3.2,,,,
2M19435208+7105023,295.967009,71.083992,nan,,1.9206319337530455,0.9796575524736,5583.4336,29.0,1272.173829042329,455067.0,947.7521148845864,169.68772750910034,1.2000000000000002,1024.2190784712204,2525.6430077493496,7.587509907326576,6.712174128201411,0.5957511686390058,483.4197647869434,False,106.86801218986511,SDE_OK_ON_TARGET,0.0354888938864761,4.805129769195001,0.9826948601152239,ON_TARGET (significant but <3'' = << 1 TESS pixel)
2M16534845+6031375,253.451894,60.527084,nan,,1.5703354013322746,1.0221246049270427,5992.6274,1.0,26.484659769565724,12517.0,1279.5717471785442,1.8907774476649875,1.2000000000000002,401.8404621514924,1956.8914203575412,5.437503519891422,3.4374935514857046,0.030144036498435695,2085.6729500510783,False,22.023330211639404,no_signal_SDE_5.4,,,,
2M17552730+5722257,268.863764,57.373825,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,
